commit,url

5690d5043048286f9ece3479513f26b05b0ed6ef,https://github.com/secret-star1202/Vertex-AI-Example/commit/5690d5043048286f9ece3479513f26b05b0ed6ef

66421fb4d8476afd14656a8b790b240ff66b23b4,https://github.com/secret-star1202/Vertex-AI-Example/commit/66421fb4d8476afd14656a8b790b240ff66b23b4

458066200ab0d8cf4f55bcd2895806692e5ca353,https://github.com/Nixtla/statsforecast/commit/458066200ab0d8cf4f55bcd2895806692e5ca353

76bf8f91bf8808cde779082abafb5bf98875d4b2,https://github.com/GoogleCloudPlatform/nvidia-merlin-on-vertex-ai/commit/76bf8f91bf8808cde779082abafb5bf98875d4b2

f6d15baf2bc97ee20059638af7bb97d86589bc7b,https://github.com/quantumlib/ReCirq/commit/f6d15baf2bc97ee20059638af7bb97d86589bc7b

f18baa0e519f12ac009579a4dc6d64b074eb6ffc,https://github.com/OpenMined/PySyft/commit/f18baa0e519f12ac009579a4dc6d64b074eb6ffc

04d74af51c532f69b1cedd846c0ddd8332901ded,https://github.com/sdpython/pyquickhelper/commit/04d74af51c532f69b1cedd846c0ddd8332901ded

8246c5b3d562655725d65aab55fcf9110adc478c,https://github.com/JoseCarlos458/Cirq/commit/8246c5b3d562655725d65aab55fcf9110adc478c

7da600928be0d06e59c2de98d9999ebfecff19f9,https://github.com/ampl/amplpy/commit/7da600928be0d06e59c2de98d9999ebfecff19f9

08b114c5fb473767ca9869e0aaca8625505b8199,https://github.com/rohankumardubey/uncertainty-baselines/commit/08b114c5fb473767ca9869e0aaca8625505b8199

e4ee80a2d0ddb5a2570724c160e1b4a5a4ac3dbd,https://github.com/jupyter-widgets/ipywidgets/commit/e4ee80a2d0ddb5a2570724c160e1b4a5a4ac3dbd

0447014e9cfb6b2f9bf035d063e9c612ab9de500,https://github.com/orgTestCodacy11KRepos110MB/repo-5804-evojax/commit/0447014e9cfb6b2f9bf035d063e9c612ab9de500

15fe0b4a7f4232494da365a21d3d372a75eff538,https://github.com/2lambda123/fastai/commit/15fe0b4a7f4232494da365a21d3d372a75eff538

f8f1f7fc5756044ea8b7970081b63cab109d9aa5,https://github.com/2lambda123/fastai/commit/f8f1f7fc5756044ea8b7970081b63cab109d9aa5

17453e71a81ba774ab451ad141fc8c21ea8770c9,https://github.com/apache/beam/commit/17453e71a81ba774ab451ad141fc8c21ea8770c9

3bfa02051f025c4477b4a371fc90ff184a0c5b93,https://github.com/karlstroetmann/Artificial-Intelligence/commit/3bfa02051f025c4477b4a371fc90ff184a0c5b93

e99b53a471cf3255da9a48e885234faa6b83b397,https://github.com/probml/pyprobml/commit/e99b53a471cf3255da9a48e885234faa6b83b397

3db73843ce73deb3cccc93fe718983a8c9e9406a,https://github.com/SMTorg/smt/commit/3db73843ce73deb3cccc93fe718983a8c9e9406a

b587a65a27c94bef028e518de3e10124749b5ea4,https://github.com/rdkit/rdkit/commit/b587a65a27c94bef028e518de3e10124749b5ea4

c9a9d01ca092c9b480e521f966b94dab2e861a36,https://github.com/tensorflow/docs/commit/c9a9d01ca092c9b480e521f966b94dab2e861a36

84a3941b54e929db4825691eb985df3841ef2c55,https://github.com/geoscixyz/gpgLabs/commit/84a3941b54e929db4825691eb985df3841ef2c55

6e15b5c5e17a07f8c27341ef15695450c42b777a,https://github.com/tclaudioe/Scientific-Computing/commit/6e15b5c5e17a07f8c27341ef15695450c42b777a

889ffa0e92c380adf6d7cd8fbe4b1cd95af3a13b,https://github.com/ITAM-DS/analisis-numerico-computo-cientifico/commit/889ffa0e92c380adf6d7cd8fbe4b1cd95af3a13b

2a8bbca6e80c17727870659a1a6ecd1232a1817c,https://github.com/tensorflow/docs-l10n/commit/2a8bbca6e80c17727870659a1a6ecd1232a1817c

47c990af061cab47f8d6fbd871f6d5d43827cdcd,https://github.com/google/learned_optimization/commit/47c990af061cab47f8d6fbd871f6d5d43827cdcd

c964284640b1f68b2074ccf868cf2d6707a06158,https://github.com/python-hydro/pyro2/commit/c964284640b1f68b2074ccf868cf2d6707a06158

fcd41fa20eb073e6b03a378da7302de10a64375d,https://github.com/chrisf520/Encoder-Decoder-Architecture-Lab-Resources/commit/fcd41fa20eb073e6b03a378da7302de10a64375d

b294027d6275630b2175de3b2684ba5478863ed2,https://github.com/ITAM-DS/analisis-numerico-computo-cientifico/commit/b294027d6275630b2175de3b2684ba5478863ed2

821bba27766d3f2c1daeb1680c7de168781e8291,https://github.com/secret-star1202/Vertex-AI-Example/commit/821bba27766d3f2c1daeb1680c7de168781e8291

3d96f1c7a6fb78123af9b4d969c5a7123b3f8dbe,https://github.com/Nixtla/statsforecast/commit/3d96f1c7a6fb78123af9b4d969c5a7123b3f8dbe
